Year,State,Value
2020,ALABAMA,"4,000"
2020,ALASKA,300
2020,ARIZONA,"193,000"
2020,ARKANSAS,"5,000"
2020,CALIFORNIA,"1,725,000"
2020,COLORADO,"189,000"
2020,CONNECTICUT,"19,500"
2020,DELAWARE,"3,800"
2020,FLORIDA,"116,000"
2020,GEORGIA,"81,000"
2020,HAWAII,700
2020,IDAHO,"635,000"
2020,ILLINOIS,"82,000"
2020,INDIANA,"176,000"
2020,IOWA,"215,000"
2020,KANSAS,"167,000"
2020,KENTUCKY,"49,000"
2020,LOUISIANA,"10,000"
2020,MAINE,"28,000"
2020,MARYLAND,"42,000"
2020,MASSACHUSETTS,"10,000"
2020,MICHIGAN,"427,000"
2020,MINNESOTA,"445,000"
2020,MISSISSIPPI,"8,000"
2020,MISSOURI,"77,000"
2020,MONTANA,"12,000"
2020,NEBRASKA,"58,000"
2020,NEVADA,"31,000"
2020,NEW HAMPSHIRE,"11,000"
2020,NEW JERSEY,"4,700"
2020,NEW MEXICO,"330,000"
2020,NEW YORK,"625,000"
2020,NORTH CAROLINA,"41,000"
2020,NORTH DAKOTA,"15,000"
2020,OHIO,"252,000"
2020,OKLAHOMA,"41,000"
2020,OREGON,"127,000"
2020,PENNSYLVANIA,"480,000"
2020,RHODE ISLAND,600
2020,SOUTH CAROLINA,"11,000"
2020,SOUTH DAKOTA,"127,000"
2020,TENNESSEE,"31,000"
2020,TEXAS,"580,000"
2020,UTAH,"97,000"
2020,VERMONT,"124,000"
2020,VIRGINIA,"74,000"
2020,WASHINGTON,"282,000"
2020,WEST VIRGINIA,"6,000"
2020,WISCONSIN,"1,260,000"
2020,WYOMING,"6,000"
